features,all_NAs,no_of_NAs,no_of_times_root,tree_0,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11
Month,False,0,2,",8,10,9,4,5",",9,7,3",",2,10,7,9,4",",2,5,10,9,4",",2,4,7,10,8,5,6,3",",2,6,7,4",",6,3,4,5",",2,3,4,6,5,10,9",",0,4,6,7,5,8",",0,3,4,5,9,8",",2,3,4,5,6,10,8,7",",2,3,4,5,8,7"
WeekOfMonth,False,0,0,",5,6,10,9,8",",9,10,7,5,8,6,4",",6,9,8,10,3,5",",6,9,10,5,3",",10,6,8,9,3",",5,10,9,8",",5,9,10,8",",5,10,8,7",",8,10,5,7,9",",8,10,7,9,6",",9,8,6,10,7,5",",7,9,6,4"
DayOfWeek,False,0,0,",7,9,8,10,6,4",",6,10,9,8,5,7",",9,8,10,7,3,4",",9,7,8,10,5,2",",9,10,2,8",",8,6,7,9",",8,6,7,9,10",",9,5,8,10,4,7",",5,6,8,9,10",",8,5,9,10,7,6",",7,10,5,6,4",",9,5"
Make,False,0,0,",7,8,9,1,6",",9,4,5,10,7",",9,5,8,10,3",",7,9,6,4,10,3",",8,6,7,5",",10,6,9,2",",9,1,2",",6,7,9,10,5",",9,2",",6,7,9,2",",10,9,7,8,5",",10,5,6,8"
AccidentArea,False,0,0,",4,7,8",",5,8,10,9",",8,9,4",",9",",7,6,9",",6",",3",",7",",10,5",",6",",8,9",",10,9"
DayOfWeekClaimed,False,0,0,",7,9,10,2",",7,10,8,9,6",",9,10,7,8,6,5,4",",7,8,10,6",",9,8,6",",5,7,9",",5,9,7,8,10",",10,8,3",",6,9,5",",7,5,6,4,8,10",",9,8,10,6",",7,5,8,9,6"
MonthClaimed,False,0,0,",10,9,8,7,5",",6,7,9,10,8,5,4,3",",5,8,7,9,6,3",",8,9,6,10,4,2",",5,6,7,4",",3,7,6",",2,3,4",",9,4,6,5,10,2",",1,2,7",",1,2,7,6,9",",10,9",",8,6,5"
WeekOfMonthClaimed,False,0,0,",9,7,10,8,5",",10,9,7,3,6",",10,9,7",",7,4",",7",",4,5",",4,6",",7,9",",8,7,9,6,10",",8,7,6,10",",9,8,7,4",",6,5,8,3"
Sex,False,3,0,NA,",6,5",",5",",10,7,9",",10,8",NA,",10",",10",NA,",6",",10,4",",9,10"
MaritalStatus,False,4,0,",6,8",",8,7",",6",",9,7",",9",NA,NA,",8,10",",10,5,8",",10,5,8",NA,NA
Age,False,0,0,",5,9,7,10,6,8,3,2",",3,5,8,10,6,9,7,4,2",",4,6,8,9,10,7",",4,10,9,8,6",",5,9,6,10,7,4",",6,7,5,10,4,3",",6,7,8,10,9,4,5",",9,7,8,10,6",",7,8,9,6,4,10,5",",4,5,7,9,8,6,10",",8,10,7,5,9,3",",6,9,8,3,7,4"
Fault,False,0,0,",1",",1",",1",",1",",1",",1,7",",1",",1",",5,9,4,2",",5,9,3,2",",1",",1"
PolicyType,False,2,0,",2,9",",2",",3",",3,8,5",",4",",4",",5,7,8",",9,8,10,5,7",NA,",6",",7",NA
VehicleCategory,False,9,0,",9",NA,NA,NA,NA,NA,NA,NA,",2",NA,NA,",7,8"
VehiclePrice,False,0,0,",6,3,7",",10,9,7,5,3",",7,10,9,4,6",",10,8,7,6",",8,10,7",",9,8",",8,6",",10,9,8,3",",3,7,9,10",",3,8,10",",8,7,9,6,5",",6,7"
Deductible,False,1,0,",3",",7,8,9,6,2",",3,2",",8,3",",8,3",",3",NA,",3",",4,6",",4,8",",5,10,3,4",",10,7"
DriverRating,False,0,0,",6,8,9,10,7",",8,10,7,9",",7,9,8,6,5,10",",10,5,7",",8,5,1",",7,10,8",",7,8,9,3,4",",9,6",",4,10",",8,4,9",",9,6,4",",6,10,7"
Days_Policy_Accident,False,8,0,NA,NA,NA,NA,",7",",6",",7",",9",NA,NA,NA,NA
Days_Policy_Claim,False,9,0,NA,",7,9",",10",NA,NA,NA,NA,NA,NA,NA,NA,",1"
PastNumberOfClaims,False,0,0,",10,8",",8,10,4",",10,9,7,8,6",",6,8,4",",6,9,10",",8,9,10,6,7",",9,10,7",",7,10,9,6",",6,5,10,7,8,3",",7,6,8,3",",10,8,6,7,5",",8,5"
AgeOfVehicle,False,0,0,",10,7,6,5,9",",8,10,9,4",",8,10,9",",10,7,6,8,9",",7,8",",8,7",",8",",10,8,7",",7,8,10,4",",9,3,7,8,10,4",",9,7,8,6,2",",7,10,2"
